PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_38825	3	80548497	80549829	+	621	NA	Intergenic	Intergenic	-25870	ENSGALG00000015898	ENSGALG00000015898	ENSGALT00000049031			MYO6			protein_coding
ATAC_R1.mLb.clN_peak_48813	5	10648474	10649109	+	621	NA	Intergenic	Intergenic	20161	ENSGALG00000006015	ENSGALG00000006015	ENSGALT00000009679			COPB1			protein_coding
ATAC_R1.mLb.clN_peak_37588	3	62995520	62996285	+	621	NA	intron (ENSGALG00000014892, intron 3 of 12)	protein_coding-intron (ENSGALG00000014892, intron 3 of 12)	-6944	ENSGALG00000027583	ENSGALG00000027583	ENSGALT00000044362			PLN			protein_coding
ATAC_R1.mLb.clN_peak_14729	11	15808758	15809575	+	619	NA	intron (ENSGALG00000031983, intron 1 of 6)	protein_coding-intron (ENSGALG00000031983, intron 1 of 4)	178	ENSGALG00000031983	ENSGALG00000031983	ENSGALT00000069736			MPHOSPH6			protein_coding
ATAC_R1.mLb.clN_peak_42483	4	15682178	15683247	+	617	NA	intron (ENSGALG00000008507, intron 1 of 34)	protein_coding-intron (ENSGALG00000008507, intron 1 of 33)	142	ENSGALG00000008507	ENSGALG00000008507	ENSGALT00000013858			THOC2			protein_coding
ATAC_R1.mLb.clN_peak_9340	1	146094687	146095436	+	617	NA	intron (ENSGALG00000016880, intron 1 of 9)	protein_coding-intron (ENSGALG00000016880, intron 1 of 9)	-14541	ENSGALG00000016880	ENSGALG00000016880	ENSGALT00000027270			UBAC2			protein_coding
ATAC_R1.mLb.clN_peak_36475	3	48957971	48958531	+	616	NA	Intergenic	Intergenic	10975	ENSGALG00000012966	ENSGALG00000012966	ENSGALT00000021152			ZBTB2			protein_coding
ATAC_R1.mLb.clN_peak_10379	1	169984980	169986038	+	616	NA	intron (ENSGALG00000016993, intron 1 of 10)	protein_coding-intron (ENSGALG00000016993, intron 1 of 10)	155	ENSGALG00000016993	ENSGALG00000016993	ENSGALT00000027453			SUCLA2			protein_coding
ATAC_R1.mLb.clN_peak_51251	5	41122516	41123186	+	615	NA	intron (ENSGALG00000010579, intron 3 of 6)	protein_coding-intron (ENSGALG00000010579, intron 3 of 6)	7851	ENSGALG00000010579	ENSGALG00000010579	ENSGALT00000017215			STON2			protein_coding
ATAC_R1.mLb.clN_peak_55366	7	2140829	2141400	+	613	NA	Intergenic	Intergenic	115975	ENSGALG00000002689	ENSGALG00000002689	ENSGALT00000004236			NUP35			protein_coding
ATAC_R1.mLb.clN_peak_37844	3	66048585	66049318	+	612	NA	intron (ENSGALG00000015026, intron 7 of 9)	protein_coding-intron (ENSGALG00000015026, intron 7 of 9)	19194	ENSGALG00000015026	ENSGALG00000015026	ENSGALT00000024233						protein_coding
ATAC_R1.mLb.clN_peak_34145	3	19993930	19994424	+	611	NA	Intergenic	Intergenic	-74166	ENSGALG00000009645	ENSGALG00000009645	ENSGALT00000049609			ESRRG			protein_coding
ATAC_R1.mLb.clN_peak_17765	14	705754	706636	+	611	NA	intron (ENSGALG00000040854, intron 1 of 3)	protein_coding-intron (ENSGALG00000040854, intron 1 of 3)	319	ENSGALG00000040854	ENSGALG00000040854	ENSGALT00000065529			CPPED1			protein_coding
ATAC_R1.mLb.clN_peak_52616	6	1898950	1899624	+	610	NA	Intergenic	Intergenic	4366	ENSGALG00000049758	ENSGALG00000049758	ENSGALT00000103990						protein_coding
ATAC_R1.mLb.clN_peak_922	1	14151007	14152406	+	609	NA	intron (ENSGALG00000045949, intron 1 of 3)	protein_coding-intron (ENSGALG00000045949, intron 1 of 4)	328	ENSGALG00000045949	ENSGALG00000045949	ENSGALT00000104579			EFCAB10			protein_coding
ATAC_R1.mLb.clN_peak_22681	2	24687753	24689678	+	609	NA	Intergenic	Intergenic	-3152	ENSGALG00000009752	ENSGALG00000009752	ENSGALT00000015869			C1GALT1			protein_coding
ATAC_R1.mLb.clN_peak_29457	2	129289685	129290708	+	609	NA	intron (ENSGALG00000033351, intron 1 of 2)	protein_coding-intron (ENSGALG00000033351, intron 1 of 2)	-1171	ENSGALG00000033351	ENSGALG00000033351	ENSGALT00000071593			CTHRC1			protein_coding
ATAC_R1.mLb.clN_peak_62579	Z	2849790	2850433	+	609	NA	intron (ENSGALG00000036775, intron 1 of 5)	protein_coding-intron (ENSGALG00000036775, intron 1 of 4)	28599	ENSGALG00000036775	ENSGALG00000036775	ENSGALT00000064862			SETBP1			protein_coding
ATAC_R1.mLb.clN_peak_41703	4	5793170	5793675	+	609	NA	Intergenic	Intergenic	96157	ENSGALG00000053875	ENSGALG00000053875	ENSGALT00000094632						protein_coding
ATAC_R1.mLb.clN_peak_4705	1	67012295	67012934	+	608	NA	Intergenic	Intergenic	-18392	ENSGALG00000035836	ENSGALG00000035836	ENSGALT00000052417			LDHB			protein_coding
ATAC_R1.mLb.clN_peak_38736	3	79482848	79483467	+	608	NA	intron (ENSGALG00000015880, intron 1 of 7)	protein_coding-intron (ENSGALG00000015880, intron 1 of 5)	13201	ENSGALG00000015880	ENSGALG00000015880	ENSGALT00000025596			HMGN3			protein_coding
ATAC_R1.mLb.clN_peak_7367	1	115986108	115987921	+	607	NA	Intergenic	Intergenic	-24123	ENSGALG00000016284	ENSGALG00000016284	ENSGALT00000026255			TAB3			protein_coding
ATAC_R1.mLb.clN_peak_1221	1	18994585	18996603	+	606	NA	Intergenic	Intergenic	-2687	ENSGALG00000029379	ENSGALG00000029379	ENSGALT00000056505			BRD1			protein_coding
ATAC_R1.mLb.clN_peak_1221-2	1	18994585	18996603	+	606	NA	Intergenic	Intergenic	-2687	ENSGALG00000029379	ENSGALG00000029379	ENSGALT00000056505			BRD1			protein_coding
ATAC_R1.mLb.clN_peak_40056	3	96943136	96944148	+	605	NA	intron (ENSGALG00000016447, intron 1 of 12)	protein_coding-intron (ENSGALG00000016447, intron 1 of 12)	114	ENSGALG00000016447	ENSGALG00000016447	ENSGALT00000026538			PDIA6			protein_coding
ATAC_R1.mLb.clN_peak_49411	5	19376872	19377641	+	605	NA	intron (ENSGALG00000050112, intron 3 of 4)	protein_coding-intron (ENSGALG00000050112, intron 3 of 4)	14594	ENSGALG00000050112	ENSGALG00000050112	ENSGALT00000088945						protein_coding
ATAC_R1.mLb.clN_peak_36780	3	52797423	52797946	+	605	NA	intron (ENSGALG00000013795, intron 1 of 7)	protein_coding-intron (ENSGALG00000013795, intron 1 of 7)	-18282	ENSGALG00000013795	ENSGALG00000013795	ENSGALT00000106963			HIVEP2			protein_coding
ATAC_R1.mLb.clN_peak_52743	6	3635036	3635503	+	604	NA	Intergenic	Intergenic	46036	ENSGALG00000002289	ENSGALG00000002289	ENSGALT00000003601			CHAT			protein_coding
ATAC_R1.mLb.clN_peak_43151	4	26440149	26440666	+	603	NA	Intergenic	Intergenic	-441864	ENSGALG00000009719	ENSGALG00000009719	ENSGALT00000015818			PCDH10			protein_coding
ATAC_R1.mLb.clN_peak_58874	8	13566668	13567306	+	602	NA	Intergenic	Intergenic	157777	ENSGALG00000038421	ENSGALG00000038421	ENSGALT00000083460			RWDD3			protein_coding
ATAC_R1.mLb.clN_peak_2222	1	30864180	30864614	+	602	NA	Intergenic	Intergenic	-8475	ENSGALG00000033074	ENSGALG00000033074	ENSGALT00000068017			ARID2			protein_coding
ATAC_R1.mLb.clN_peak_38467	3	75267606	75268400	+	600	NA	Intergenic	Intergenic	-65297	ENSGALG00000015605	ENSGALG00000015605	ENSGALT00000101093			BACH2			protein_coding
ATAC_R1.mLb.clN_peak_46745	4	73702637	73703910	+	599	NA	intron (ENSGALG00000014395, intron 3 of 15)	protein_coding-intron (ENSGALG00000014395, intron 3 of 15)	10813	ENSGALG00000014395	ENSGALG00000014395	ENSGALT00000023259			DHX15			protein_coding
ATAC_R1.mLb.clN_peak_11551	1	188014078	188014684	+	599	NA	intron (ENSGALG00000017229, intron 1 of 25)	protein_coding-intron (ENSGALG00000017229, intron 1 of 26)	-24315	ENSGALG00000017229	ENSGALG00000017229	ENSGALT00000046975			FAT3			protein_coding
ATAC_R1.mLb.clN_peak_14132	11	8941494	8941930	+	597	NA	intron (ENSGALG00000035602, intron 4 of 4)	protein_coding-intron (ENSGALG00000035602, intron 4 of 4)	197376	ENSGALG00000035602	ENSGALG00000035602	ENSGALT00000069310			ZNF536			protein_coding
ATAC_R1.mLb.clN_peak_43203	4	27277754	27278251	+	597	NA	Intergenic	Intergenic	-226576	ENSGALG00000048743	ENSGALG00000048743	ENSGALT00000092089						protein_coding
ATAC_R1.mLb.clN_peak_4326	1	61674332	61674959	+	596	NA	Intergenic	Intergenic	-5504	ENSGALG00000013031	ENSGALG00000013031	ENSGALT00000030546			ADA2			protein_coding
ATAC_R1.mLb.clN_peak_23914	2	43411839	43412311	+	595	NA	Intergenic	Intergenic	24984	ENSGALG00000037203	ENSGALG00000037203	ENSGALT00000063944			CTNNB1			protein_coding
ATAC_R1.mLb.clN_peak_37790	3	65486843	65487571	+	593	NA	Intergenic	Intergenic	-94992	ENSGALG00000052819	ENSGALG00000052819	ENSGALT00000106166						protein_coding
ATAC_R1.mLb.clN_peak_38267	3	72284176	72285000	+	592	NA	Intergenic	Intergenic	-150645	ENSGALG00000015513	ENSGALG00000015513	ENSGALT00000025012			MMS22L			protein_coding
ATAC_R1.mLb.clN_peak_55885	7	11502532	11503239	+	592	NA	Intergenic	Intergenic	8712	ENSGALG00000008373	ENSGALG00000008373	ENSGALT00000091673			STRADB			protein_coding
ATAC_R1.mLb.clN_peak_35915	3	42617218	42618380	+	591	NA	intron (ENSGALG00000011423, intron 1 of 11)	protein_coding-intron (ENSGALG00000011423, intron 1 of 11)	102	ENSGALG00000011423	ENSGALG00000011423	ENSGALT00000018633			FGFR1OP			protein_coding
ATAC_R1.mLb.clN_peak_29369	2	128191382	128192764	+	590	NA	intron (ENSGALG00000035996, intron 1 of 3)	protein_coding-intron (ENSGALG00000035996, intron 1 of 3)	240	ENSGALG00000035996	ENSGALG00000035996	ENSGALT00000051349			COX6C			protein_coding
ATAC_R1.mLb.clN_peak_51985	5	48940520	48941135	+	590	NA	intron (ENSGALG00000011236, intron 2 of 7)	protein_coding-intron (ENSGALG00000011236, intron 2 of 7)	21743	ENSGALG00000011236	ENSGALG00000011236	ENSGALT00000079980			BEGAIN			protein_coding
ATAC_R1.mLb.clN_peak_16455	12	20173971	20174704	+	590	NA	intron (ENSGALG00000008519, intron 1 of 16)	protein_coding-intron (ENSGALG00000008519, intron 1 of 16)	-10734	ENSGALG00000008519	ENSGALG00000008519	ENSGALT00000106964			NR2C2			protein_coding
ATAC_R1.mLb.clN_peak_48204	5	2963460	2964653	+	588	NA	intron (ENSGALG00000003748, intron 1 of 20)	protein_coding-intron (ENSGALG00000003748, intron 1 of 20)	140	ENSGALG00000003748	ENSGALG00000003748	ENSGALT00000005949			ANO5			protein_coding
ATAC_R1.mLb.clN_peak_26196	2	84901861	84902450	+	587	NA	intron (ENSGALG00000013149, intron 4 of 13)	protein_coding-intron (ENSGALG00000013149, intron 4 of 14)	104151	ENSGALG00000013149	ENSGALG00000013149	ENSGALT00000098220			MOCOS			protein_coding
ATAC_R1.mLb.clN_peak_34349	3	22301314	22301862	+	585	NA	Intergenic	Intergenic	-10643	ENSGALG00000052015	ENSGALG00000052015	ENSGALT00000096808						protein_coding
ATAC_R1.mLb.clN_peak_59219	8	16844403	16845779	+	584	NA	intron (ENSGALG00000008763, intron 1 of 14)	protein_coding-intron (ENSGALG00000008763, intron 1 of 14)	283	ENSGALG00000008763	ENSGALG00000008763	ENSGALT00000014255			SSX2IP			protein_coding
ATAC_R1.mLb.clN_peak_51134	5	39888506	39889040	+	583	NA	intron (ENSGALG00000027255, intron 3 of 20)	protein_coding-intron (ENSGALG00000027255, intron 3 of 20)	113712	ENSGALG00000027255	ENSGALG00000027255	ENSGALT00000059499			NRXN3			protein_coding
ATAC_R1.mLb.clN_peak_49462	5	19755651	19756641	+	583	NA	intron (ENSGALG00000007941, intron 1 of 6)	protein_coding-intron (ENSGALG00000007941, intron 1 of 6)	164	ENSGALG00000007941	ENSGALG00000007941	ENSGALT00000012899			C5H11orf74			protein_coding
ATAC_R1.mLb.clN_peak_27328	2	100874096	100874721	+	582	NA	Intergenic	Intergenic	-2021	ENSGALG00000038635	ENSGALG00000038635	ENSGALT00000087108						protein_coding
ATAC_R1.mLb.clN_peak_50113	5	29218829	29219547	+	581	NA	intron (ENSGALG00000009581, intron 1 of 14)	protein_coding-intron (ENSGALG00000009570, intron 8 of 8)	18416	ENSGALG00000009581	ENSGALG00000009581	ENSGALT00000015609			MPP5			protein_coding
ATAC_R1.mLb.clN_peak_6074	1	93974682	93975236	+	580	NA	Intergenic	Intergenic	8932	ENSGALG00000015494	ENSGALG00000015494	ENSGALT00000024988			HTR1F			protein_coding
ATAC_R1.mLb.clN_peak_28396	2	114960070	114961679	+	579	NA	Intergenic	Intergenic	-12402	ENSGALG00000041327	ENSGALG00000041327	ENSGALT00000078564			TRIM55			protein_coding
ATAC_R1.mLb.clN_peak_16797	13	5687769	5688683	+	577	NA	intron (ENSGALG00000001768, intron 8 of 31)	protein_coding-intron (ENSGALG00000001768, intron 7 of 29)	-120997	ENSGALG00000001826	ENSGALG00000001826	ENSGALT00000104516			WWC1			protein_coding
ATAC_R1.mLb.clN_peak_55313	7	1336882	1337328	+	575	NA	Intergenic	Intergenic	-10195	ENSGALG00000002646	ENSGALG00000002646	ENSGALT00000004172			FAM171B			protein_coding
ATAC_R1.mLb.clN_peak_11288	1	184028166	184028816	+	574	NA	intron (ENSGALG00000038154, intron 2 of 7)	protein_coding-intron (ENSGALG00000038154, intron 2 of 8)	28412	ENSGALG00000038154	ENSGALG00000038154	ENSGALT00000102313			YAP1			protein_coding
ATAC_R1.mLb.clN_peak_18299	14	9697287	9697667	+	573	NA	intron (ENSGALG00000007278, intron 1 of 11)	protein_coding-intron (ENSGALG00000007278, intron 1 of 11)	-40066	ENSGALG00000007278	ENSGALG00000007278	ENSGALT00000077302			GRIN2A			protein_coding
ATAC_R1.mLb.clN_peak_7360	1	115937867	115938867	+	572	NA	Intergenic	Intergenic	-72770	ENSGALG00000016284	ENSGALG00000016284	ENSGALT00000026255			TAB3			protein_coding
ATAC_R1.mLb.clN_peak_29604	2	131509203	131510742	+	571	NA	intron (ENSGALG00000042182, intron 1 of 13)	protein_coding-intron (ENSGALG00000042182, intron 3 of 14)	82439	ENSGALG00000041043	ENSGALG00000041043	ENSGALT00000047178			ABRA			protein_coding
ATAC_R1.mLb.clN_peak_66147	Z	70718907	70719469	+	571	NA	intron (ENSGALG00000001933, intron 1 of 11)	protein_coding-intron (ENSGALG00000001933, intron 1 of 12)	12022	ENSGALG00000001933	ENSGALG00000001933	ENSGALT00000002987			CORO2A			protein_coding
ATAC_R1.mLb.clN_peak_46971	4	76486020	76486616	+	571	NA	Intergenic	Intergenic	-27089	ENSGALG00000014496	ENSGALG00000014496	ENSGALT00000091393			Prom1			protein_coding
ATAC_R1.mLb.clN_peak_26275	2	85904392	85905326	+	570	NA	Intergenic	Intergenic	-30931	ENSGALG00000013189	ENSGALG00000013189	ENSGALT00000106688			LPCAT1			protein_coding
ATAC_R1.mLb.clN_peak_13819	11	6151912	6152385	+	570	NA	Intergenic	Intergenic	19492	ENSGALG00000003753	ENSGALG00000003753	ENSGALT00000093355			CYLD			protein_coding
ATAC_R1.mLb.clN_peak_58131	8	2613731	2614313	+	569	NA	intron (ENSGALG00000002216, intron 1 of 9)	protein_coding-intron (ENSGALG00000002216, intron 1 of 9)	7166	ENSGALG00000002216	ENSGALG00000002216	ENSGALT00000040260			NEK7			protein_coding
ATAC_R1.mLb.clN_peak_21068	2	3674140	3674704	+	568	NA	intron (ENSGALG00000005476, intron 1 of 12)	protein_coding-intron (ENSGALG00000005476, intron 1 of 12)	-46545	ENSGALG00000005476	ENSGALG00000005476	ENSGALT00000065681			PTH1R			protein_coding
ATAC_R1.mLb.clN_peak_16838	13	6031407	6031913	+	567	NA	intron (ENSGALG00000001768, intron 3 of 31)	protein_coding-intron (ENSGALG00000001768, intron 1 of 29)	155198	ENSGALG00000001768	ENSGALG00000001768	ENSGALT00000073298			TENM2			protein_coding
ATAC_R1.mLb.clN_peak_65730	Z	61262179	61262526	+	567	NA	intron (ENSGALG00000017706, intron 1 of 24)	protein_coding-intron (ENSGALG00000017706, intron 1 of 24)	14002	ENSGALG00000017706	ENSGALG00000017706	ENSGALT00000025213						protein_coding
ATAC_R1.mLb.clN_peak_64895	Z	46256386	46256779	+	565	NA	Intergenic	Intergenic	-15854	ENSGALG00000000234	ENSGALG00000000234	ENSGALT00000059559			EPB41L4A			protein_coding
ATAC_R1.mLb.clN_peak_52709	6	3246111	3247086	+	565	NA	intron (ENSGALG00000002003, intron 1 of 12)	protein_coding-intron (ENSGALG00000002003, intron 1 of 12)	-19904	ENSGALG00000002003	ENSGALG00000002003	ENSGALT00000065543			BMPR1A			protein_coding
ATAC_R1.mLb.clN_peak_65091	Z	50049773	50051013	+	565	NA	Intergenic	Intergenic	-5121	ENSGALG00000027512	ENSGALG00000027512	ENSGALT00000043399			C5orf30			protein_coding
ATAC_R1.mLb.clN_peak_62676	Z	6485163	6485759	+	564	NA	Intergenic	Intergenic	-283441	ENSGALG00000050344	ENSGALG00000050344	ENSGALT00000097708						protein_coding
ATAC_R1.mLb.clN_peak_1512	1	22687146	22687971	+	563	NA	intron (ENSGALG00000008926, intron 1 of 30)	protein_coding-intron (ENSGALG00000008926, intron 1 of 29)	17267	ENSGALG00000008926	ENSGALG00000008926	ENSGALT00000091929			CADPS2			protein_coding
ATAC_R1.mLb.clN_peak_6196	1	96500550	96501813	+	563	NA	intron (ENSGALG00000042771, intron 1 of 16)	protein_coding-intron (ENSGALG00000042771, intron 1 of 16)	139	ENSGALG00000042771	ENSGALG00000042771	ENSGALT00000048548			GBE1			protein_coding
ATAC_R1.mLb.clN_peak_10787	1	176568642	176569892	+	563	NA	Intergenic	Intergenic	-12411	ENSGALG00000017083	ENSGALG00000017083	ENSGALT00000027595			KATNAL1			protein_coding
ATAC_R1.mLb.clN_peak_4347	1	61859676	61860877	+	563	NA	intron (ENSGALG00000013039, intron 1 of 6)	protein_coding-intron (ENSGALG00000013039, intron 1 of 5)	-4180	ENSGALG00000013039	ENSGALG00000013039	ENSGALT00000101905			BID			protein_coding
ATAC_R1.mLb.clN_peak_8768	1	136705128	136705479	+	562	NA	Intergenic	Intergenic	-12646	ENSGALG00000043690	ENSGALG00000043690	ENSGALT00000047217			C1H2ORF40			protein_coding
ATAC_R1.mLb.clN_peak_36026	3	44062949	44063288	+	562	NA	Intergenic	Intergenic	284434	ENSGALG00000011555	ENSGALG00000011555	ENSGALT00000070011			QKI			protein_coding
ATAC_R1.mLb.clN_peak_37114	3	57560293	57560824	+	561	NA	Intergenic	Intergenic	-5882	ENSGALG00000029794	ENSGALG00000029794	ENSGALT00000097646			AKAP7			protein_coding
ATAC_R1.mLb.clN_peak_24583	2	55234450	55235528	+	560	NA	intron (ENSGALG00000039139, intron 1 of 30)	protein_coding-intron (ENSGALG00000039139, intron 1 of 30)	144	ENSGALG00000039139	ENSGALG00000039139	ENSGALT00000084987			TNS3			protein_coding
ATAC_R1.mLb.clN_peak_34727	3	27111599	27112136	+	560	NA	intron (ENSGALG00000010020, intron 11 of 18)	protein_coding-intron (ENSGALG00000010020, intron 11 of 19)	56352	ENSGALG00000010020	ENSGALG00000010020	ENSGALT00000016274			TTC7A			protein_coding
ATAC_R1.mLb.clN_peak_6344	1	98741784	98742481	+	560	NA	Intergenic	Intergenic	-297573	ENSGALG00000015519	ENSGALG00000015519	ENSGALT00000055391			ROBO2			protein_coding
ATAC_R1.mLb.clN_peak_11987	1	194484720	194485497	+	559	NA	intron (ENSGALG00000000681, intron 1 of 14)	protein_coding-intron (ENSGALG00000000681, intron 1 of 14)	480	ENSGALG00000000681	ENSGALG00000000681	ENSGALT00000000963			PAK1			protein_coding
ATAC_R1.mLb.clN_peak_64116	Z	32274925	32275750	+	558	NA	Intergenic	Intergenic	52209	ENSGALG00000053886	ENSGALG00000053886	ENSGALT00000091075						protein_coding
ATAC_R1.mLb.clN_peak_2382	1	33326279	33326775	+	557	NA	intron (ENSGALG00000009805, intron 1 of 9)	protein_coding-intron (ENSGALG00000009805, intron 1 of 9)	12211	ENSGALG00000009805	ENSGALG00000009805	ENSGALT00000015947			PPM1H			protein_coding
ATAC_R1.mLb.clN_peak_22395	2	21654394	21655151	+	557	NA	Intergenic	Intergenic	-12550	ENSGALG00000009017	ENSGALG00000009017	ENSGALT00000014669			STEAP2			protein_coding
ATAC_R1.mLb.clN_peak_53090	6	8548133	8548669	+	556	NA	intron (ENSGALG00000002942, intron 1 of 26)	protein_coding-intron (ENSGALG00000002942, intron 1 of 25)	32045	ENSGALG00000002942	ENSGALG00000002942	ENSGALT00000054471			JMJD1C			protein_coding
ATAC_R1.mLb.clN_peak_39981	3	96095731	96097560	+	556	NA	intron (ENSGALG00000016419, intron 1 of 26)	protein_coding-intron (ENSGALG00000016419, intron 1 of 27)	515	ENSGALG00000016419	ENSGALG00000016419	ENSGALT00000076709			ASAP2			protein_coding
ATAC_R1.mLb.clN_peak_25382	2	70950013	70950715	+	555	NA	Intergenic	Intergenic	-242709	ENSGALG00000012923	ENSGALG00000012923	ENSGALT00000021079			CDH9			protein_coding
ATAC_R1.mLb.clN_peak_38195	3	71495431	71496471	+	555	NA	intron (ENSGALG00000015483, intron 2 of 12)	protein_coding-intron (ENSGALG00000015483, intron 1 of 10)	9410	ENSGALG00000015483	ENSGALG00000015483	ENSGALT00000081923			PNISR			protein_coding
ATAC_R1.mLb.clN_peak_43109	4	25494607	25495192	+	554	NA	intron (ENSGALG00000009692, intron 2 of 11)	protein_coding-intron (ENSGALG00000009692, intron 2 of 11)	39922	ENSGALG00000009692	ENSGALG00000009692	ENSGALT00000015774			SH3RF1			protein_coding
ATAC_R1.mLb.clN_peak_61455	9	16836976	16837566	+	551	NA	Intergenic	Intergenic	189435	ENSGALG00000043460	ENSGALG00000043460	ENSGALT00000068561			SOX2			protein_coding
ATAC_R1.mLb.clN_peak_42740	4	20507021	20507474	+	551	NA	Intergenic	Intergenic	-31126	ENSGALG00000009280	ENSGALG00000009280	ENSGALT00000015100			NPY2R			protein_coding
ATAC_R1.mLb.clN_peak_39868	3	94702394	94702953	+	549	NA	Intergenic	Intergenic	283336	ENSGALG00000028982	ENSGALG00000028982	ENSGALT00000043751			CMPK2			protein_coding
ATAC_R1.mLb.clN_peak_4637	1	65800533	65801135	+	549	NA	Intergenic	Intergenic	-32940	ENSGALG00000032768	ENSGALG00000032768	ENSGALT00000080713			SOX5			protein_coding
ATAC_R1.mLb.clN_peak_43540	4	32179649	32180677	+	547	NA	intron (ENSGALG00000010035, intron 3 of 8)	protein_coding-intron (ENSGALG00000010035, intron 3 of 7)	140616	ENSGALG00000010035	ENSGALG00000010035	ENSGALT00000016302			NR3C2			protein_coding
ATAC_R1.mLb.clN_peak_54318	6	24322688	24323399	+	546	NA	intron (ENSGALG00000041010, intron 1 of 3)	protein_coding-intron (ENSGALG00000041010, intron 1 of 3)	5063	ENSGALG00000041010	ENSGALG00000041010	ENSGALT00000075450			WBP1L			protein_coding
ATAC_R1.mLb.clN_peak_64188	Z	33449627	33450294	+	545	NA	intron (ENSGALG00000020554, intron 11 of 28)	protein_coding-intron (ENSGALG00000020554, intron 8 of 26)	115102	ENSGALG00000027314	ENSGALG00000027314	ENSGALT00000024343			SAXO1			protein_coding
ATAC_R1.mLb.clN_peak_57068	7	25499998	25500503	+	545	NA	Intergenic	Intergenic	-13717	ENSGALG00000027645	ENSGALG00000027645	ENSGALT00000053391						protein_coding
ATAC_R1.mLb.clN_peak_3636	1	49963591	49964548	+	544	NA	Intergenic	Intergenic	-8845	ENSGALG00000012024	ENSGALG00000012024	ENSGALT00000019622			MRTFA			protein_coding
ATAC_R1.mLb.clN_peak_29653	2	132171394	132171981	+	543	NA	intron (ENSGALG00000030030, intron 1 of 4)	protein_coding-intron (ENSGALG00000030030, intron 1 of 4)	48084	ENSGALG00000037067	ENSGALG00000037067	ENSGALT00000067713			EIF3E			protein_coding
ATAC_R1.mLb.clN_peak_16627	13	4263042	4263860	+	542	NA	Intergenic	Intergenic	-6946	ENSGALG00000002152	ENSGALG00000002152	ENSGALT00000098116			GABRP			protein_coding
ATAC_R1.mLb.clN_peak_46689	4	73109553	73110401	+	542	NA	intron (ENSGALG00000014355, intron 1 of 11)	protein_coding-intron (ENSGALG00000014355, intron 1 of 11)	17145	ENSGALG00000014355	ENSGALG00000014355	ENSGALT00000023186			STIM2			protein_coding
ATAC_R1.mLb.clN_peak_56190	7	15642586	15643185	+	542	NA	intron (ENSGALG00000042374, intron 12 of 19)	protein_coding-intron (ENSGALG00000042374, intron 12 of 19)	-37239	ENSGALG00000009224	ENSGALG00000009224	ENSGALT00000015011			TTC30B			protein_coding
ATAC_R1.mLb.clN_peak_52878	6	5511291	5512880	+	542	NA	intron (ENSGALG00000002543, intron 1 of 7)	protein_coding-intron (ENSGALG00000002543, intron 1 of 7)	500	ENSGALG00000002543	ENSGALG00000002543	ENSGALT00000004014			CSGALNACT2			protein_coding
ATAC_R1.mLb.clN_peak_64757	Z	43697905	43698752	+	541	NA	Intergenic	Intergenic	-43728	ENSGALG00000028005	ENSGALG00000028005	ENSGALT00000045592			GADD45G			protein_coding
ATAC_R1.mLb.clN_peak_48742	5	9851703	9852063	+	539	NA	intron (ENSGALG00000047559, intron 1 of 20)	protein_coding-intron (ENSGALG00000047559, intron 1 of 20)	23155	ENSGALG00000044914	ENSGALG00000044914	ENSGALT00000087983			C11orf16			protein_coding
ATAC_R1.mLb.clN_peak_12614	10	8339703	8340105	+	539	NA	intron (ENSGALG00000037336, intron 11 of 19)	protein_coding-intron (ENSGALG00000037336, intron 11 of 19)	-38142	ENSGALG00000004369	ENSGALG00000004369	ENSGALT00000006970			PYGO1			protein_coding
ATAC_R1.mLb.clN_peak_36083	3	44784216	44784892	+	539	NA	intron (ENSGALG00000011562, intron 2 of 9)	protein_coding-intron (ENSGALG00000011562, intron 2 of 11)	-200501	ENSGALG00000011560	ENSGALG00000011560	ENSGALT00000082105			PACRG			protein_coding
ATAC_R1.mLb.clN_peak_3216	1	44377913	44378858	+	538	NA	Intergenic	Intergenic	54924	ENSGALG00000011276	ENSGALG00000011276	ENSGALT00000102045			BTG1			protein_coding
ATAC_R1.mLb.clN_peak_36150	3	45640384	45640771	+	537	NA	intron (ENSGALG00000011621, intron 1 of 47)	protein_coding-intron (ENSGALG00000011621, intron 1 of 47)	3435	ENSGALG00000011621	ENSGALG00000011621	ENSGALT00000018986			IGF2R			protein_coding
ATAC_R1.mLb.clN_peak_26520	2	89395303	89396518	+	537	NA	Intergenic	Intergenic	-10355	ENSGALG00000013568	ENSGALG00000013568	ENSGALT00000022087			NR4A3			protein_coding
ATAC_R1.mLb.clN_peak_53841	6	18781252	18782519	+	537	NA	intron (ENSGALG00000005969, intron 1 of 17)	protein_coding-intron (ENSGALG00000005969, intron 1 of 17)	-3862	ENSGALG00000005969	ENSGALG00000005969	ENSGALT00000099569			ANTXRL			protein_coding
